"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sobic.009G242300",32.3441835955028,0.463733950197834,0.405913340510732,1.14244569940557,0.253268804762634,0.702659277104228
"Sobic.002G177500",68.1292455319902,-0.368838385689009,0.323041240175235,-1.1417687273889,0.253550164526094,0.702729116612818
"Sobic.003G004100",16.6717665604512,0.55714542016955,0.487971426046167,1.14175828835691,0.253554504848145,0.702729116612818
"Sobic.007G116200",137.630674881364,-0.289673368473194,0.253658111429801,-1.14198346286025,0.253460893672739,0.702729116612818
"Sobic.009G193500",162.299306323011,-0.259130220981767,0.226953466355672,-1.14177688115003,0.253546774405859,0.702729116612818
"Sobic.003G420800",78.5443027096476,0.304751920673438,0.266973764687727,1.14150512515677,0.253659780431134,0.702885588654248
"Sobic.003G229400",853.89351965526,-0.185753003422334,0.162743628570717,-1.1413841823099,0.253710084139175,0.702889703951481
"Sobic.001G497500",7.35320340684699,1.12549134903222,0.98645326405788,1.14094746303782,0.253891786419089,0.703257780081194
"Sobic.009G211400",33.7941030100487,-0.456237229213805,0.400033496423223,-1.14049756656158,0.2540790659326,0.703641160088011
"Sobic.002G278000",21.7949292412646,-0.523358686612334,0.458966664385244,-1.14029781947963,0.254162245952598,0.703642878435542
"Sobic.004G015300",223.798562999935,-0.303846809263456,0.266471195378832,-1.14026136607932,0.254177428166638,0.703642878435542
"Sobic.004G020300",48.8235573820031,-0.407378500526703,0.357405167243969,-1.13982263789886,0.254360200410563,0.704013488179794
